Cuntrycd,Stkcd,Stknme,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,Listdt,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
10,2102,冠福股份,冠福控股股份有限公司,"Guanfu Holdings CO.,Ltd.",5,工业,C81,医药制造业,C27,医药制造业,2002/9/28,2006/12/29,2006/12/29,CNY,4.96,5.96,CNY,30000,CNY,2006/12/18,1,2,A,,2017/12/5,,4
10,2103,广博股份,广博集团股份有限公司,"Guangbo Group Stock Co., Ltd.",5,工业,C37,文教体育用品制造业,C24,文教、工美、体育和娱乐用品制造业,2001/12/20,2007/1/10,2007/1/10,CNY,5.6,6.6,CNY,48000,CNY,2006/12/25,1,2,N,,2017/11/15,,4
10,2104,恒宝股份,恒宝股份有限公司,"Hengbao Co., Ltd.",5,工业,C57,其他电子设备制造业,C39,计算机、通信和其他电子设备制造业,1996/9/24,2007/1/10,2007/1/10,CNY,7.43,8.43,CNY,28800,CNY,2006/12/25,1,2,A,,2017/12/5,,4
10,2105,信隆健康,深圳信隆健康产业发展股份有限公司,HL Corp. (Shenzhen),5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,2003/12/15,2007/1/12,2007/1/12,CNY,2.4,3.4,CNY,68000,CNY,2006/12/25,1,2,A,,2017/12/5,,4
10,2106,莱宝高科,深圳莱宝高科技股份有限公司,"Shenzhen Laibao Hi-tech Co., Ltd.",5,工业,C51,电子元器件制造业,C39,计算机、通信和其他电子设备制造业,2000/10/31,2007/1/12,2007/1/12,CNY,19,20,CNY,48800,CNY,2006/12/25,1,2,A,,2017/12/5,,4
10,2107,沃华医药,山东沃华医药科技股份有限公司,"SHANDONG WOHUA PHARMACEUTICAL CO., LTD.",5,工业,C81,医药制造业,C27,医药制造业,2003/3/25,2007/1/24,2007/1/24,CNY,9.85,10.85,CNY,18000,CNY,2007/1/10,1,2,A,,2017/12/5,,4
10,2108,沧州明珠,沧州明珠塑料股份有限公司,"Cangzhou Mingzhu Plastic Co., Ltd.",5,工业,C49,塑料制造业,C29,橡胶和塑料制品业,2001/7/8,2007/1/24,2007/1/24,CNY,9.16,10.16,CNY,18000,CNY,2007/1/10,1,2,A,,2017/12/5,,4
10,2109,兴化股份,陕西兴化化学股份有限公司,"Shaanxi Xinghua Chemistry Co., Ltd.",5,工业,C43,化学原料及化学制品制造业,C26,化学原料及化学制品制造业,1997/8/29,2007/1/26,2007/1/26,CNY,9.8,10.8,CNY,40000,CNY,2007/1/11,1,2,A,,2017/12/5,,4
10,2110,三钢闽光,福建三钢闽光股份有限公司,"Sansteel Minguang Co., Ltd., Fujian",5,工业,C65,黑色金属冶炼及压延加工业,C31,黑色金属冶炼及压延加工业,2001/12/26,2007/1/26,2007/1/26,CNY,5,6,CNY,100000,CNY,2007/1/11,1,2,A,,2017/12/5,,4
10,2111,威海广泰,威海广泰空港设备股份有限公司,"WEIHAI GUANGTAI AIRPORT EQUIPMENT CO., LIMITED",5,工业,C73,专用设备制造业,C35,专用设备制造业,2002/8/30,2007/1/26,2007/1/26,CNY,7.7,8.7,CNY,21200,CNY,2007/1/16,1,2,A,,2017/12/5,,4
10,2112,三变科技,三变科技股份有限公司,"Sanbian Sci Tech Co., Ltd.",5,工业,C76,电器机械及器材制造业,C38,电气机械及器材制造业,2001/12/29,2007/2/8,2007/2/8,CNY,8.8,9.8,CNY,20000,CNY,2007/1/26,1,2,N,,2017/12/25,,4
10,2113,天润数娱,湖南天润数字娱乐文化传媒股份有限公司,"Hunan Tianrun Digital Entertainment &Cultural Media Co.,Ltd.",2,公用事业,G87,计算机应用服务业,I64,互联网和相关服务,1989/4/2,2007/2/8,2007/2/8,CNY,7.08,8.08,CNY,22000,CNY,2007/1/26,1,2,N,,2018/2/1,,4
10,2114,罗平锌电,云南罗平锌电股份有限公司,"Yunnan Luoping Zinc and Electricity Co., Ltd.",5,工业,C67,有色金属冶炼及压延加工业,C32,有色金属冶炼及压延加工业,2000/12/21,2007/2/15,2007/2/15,CNY,9.08,10.08,CNY,25600,CNY,2007/2/1,1,2,A,,2017/12/5,,4
10,2115,三维通信,三维通信股份有限公司,"SUNWAVE COMMUNICATIONS CO., LTD.",5,工业,G81,通信及相关设备制造业,C39,计算机、通信和其他电子设备制造业,2004/3/18,2007/2/15,2007/2/15,CNY,8.15,9.15,CNY,20000,CNY,2007/2/1,1,2,A,,2017/12/5,,4
10,2116,中国海诚,中国海诚工程科技股份有限公司,"China Haisum Engineering Co., Ltd.",2,公用事业,K20,专业、科研服务业,M74,专业技术服务业,2002/12/2,2007/2/15,2007/2/15,CNY,5.88,6.88,CNY,29000,CNY,2007/2/5,1,2,A,,2017/12/5,,4
10,2117,东港股份,东港股份有限公司,TUNGKONG INC.,5,工业,C35,印刷业,C23,印刷和记录媒介复制业,2002/12/30,2007/3/2,2007/3/2,CNY,9.28,10.28,CNY,28000,CNY,2007/2/8,1,2,A,,2017/12/5,,4
10,2118,紫鑫药业,吉林紫鑫药业股份有限公司,"JILIN ZIXIN PHARMACEUTICAL INDUSTRIAL CO., LTD.",5,工业,C81,医药制造业,C27,医药制造业,2001/2/23,2007/3/2,2007/3/2,CNY,8.56,9.56,CNY,16900,CNY,2007/2/8,1,2,A,,2017/12/5,,4
10,2119,康强电子,宁波康强电子股份有限公司,"NINGBO KANGQIANG ELECTRONICS CO., LTD.",5,工业,C51,电子元器件制造业,C39,计算机、通信和其他电子设备制造业,2002/10/28,2007/3/2,2007/3/2,CNY,10.1,11.1,CNY,25000,CNY,2007/2/8,1,2,A,,2017/12/5,,4
10,2120,韵达股份,韵达控股股份有限公司,"YUNDA Holding CO., Ltd.",2,公用事业,K10,邮政服务业,G60,邮政业,2003/1/17,2007/3/6,2007/3/6,CNY,9.22,10.22,CNY,17000,CNY,2007/2/12,1,2,A,,2017/12/5,,4
