prov_name,指标,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),批发和零售贸易餐饮业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),交通运输、仓储和邮电通信业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人)
辽宁省,2001,5033.08,544.44,2440.55,2048.09,544.44,2190.12,250.43,NA,696.51,NA,394.5,NA,131.32,114.96,710.8,12015
辽宁省,2e3,4669.06,503.44,2344.4,1821.22,503.44,2114.89,229.51,NA,631.64,NA,350.46,NA,127.91,103.56,607.65,11177
辽宁省,1999,4171.69,520.8,2001.48,1649.41,520.8,1795.71,205.77,NA,575.78,NA,314.48,NA,125.12,89.62,544.41,10086
辽宁省,1998,3881.73,531.46,1855.22,1495.05,531.46,1664.05,191.17,NA,533.2,NA,271.96,NA,123.78,82.6,483.51,9415
辽宁省,1997,3582.46,474.39,1743.87,1364.2,474.39,1567.56,176.31,NA,490.24,NA,248.5,NA,124.21,70.87,430.38,8725
吉林省,2016,14776.8,1498.52,7004.95,6273.33,1549.26,6070.07,960.87,1203.14,NA,558.38,NA,368.76,659.55,476.58,2930.19,53868
吉林省,2015,14063.13,1596.28,7005.71,5461.14,1644.6,6112.05,927.06,1117.29,NA,529.79,NA,328.61,565.27,436.06,2402.38,51086
吉林省,2014,13803.14,1524.01,7286.59,4992.54,1570.19,6424.88,891.4,1059.66,NA,518.05,NA,283.79,464.96,432.85,2157.54,50160
吉林省,2013,13046.4,1466.74,6871.96,4707.7,1509.34,6059.28,840.75,1011.33,NA,498.52,NA,268.88,399.54,431.88,2026.88,47428
吉林省,2012,11939.24,1412.11,6376.77,4150.36,1412.11,5582.48,794.29,986.46,NA,462.13,NA,240.7,244.63,240.86,1975.58,43415
吉林省,2011,10568.83,1277.44,5611.48,3679.91,1277.44,4917.95,693.53,860.47,NA,420.98,NA,205.69,207.65,238.61,1746.51,38460
吉林省,2010,8667.58,1050.15,4506.31,3111.12,1050.15,3929.31,577,753.37,NA,373.93,NA,180.01,190.12,212.32,1401.37,31599
吉林省,2009,7278.75,980.57,3541.92,2756.26,980.57,3054.6,487.32,673.12,NA,341.76,NA,157.73,180.83,200.14,1202.68,26595
吉林省,2008,6426.1,916.72,3097.12,2412.26,916.72,2688.37,408.75,580.37,NA,317.06,NA,137.69,147.24,182.7,1047.2,23521
吉林省,2007,5284.69,783.8,2475.45,2025.44,783.8,2170.74,304.71,485.96,NA,275.76,NA,117.35,126.03,153.03,867.31,19383
吉林省,2006,4275.12,672.76,1915.29,1687.07,672.76,1659.29,256,402.37,NA,236.82,NA,97.39,100.75,131.01,718.73,15625
吉林省,2005,3620.27,625.61,1580.83,1413.83,625.61,1363.94,216.89,345.02,NA,208.1,NA,83.39,83.63,112.29,581.4,13348
吉林省,2004,3122.01,568.69,1329.68,1223.64,568.69,1143.95,185.73,319.04,NA,192.26,NA,64.93,77.17,97.93,472.31,11537
吉林省,2003,2662.08,488.23,1098.37,1075.48,488.23,930.74,167.63,NA,327.67,NA,215.97,NA,73.15,91.99,366.7,9854
吉林省,2002,2348.54,446.17,943.49,958.88,446.17,803.53,139.96,NA,287.78,NA,190.87,NA,75.45,76.11,328.67,8714
吉林省,2001,2120.35,409.1,852.51,858.74,409.1,724.73,127.78,NA,267.37,NA,171.78,NA,79.5,69.03,271.06,7893
吉林省,2e3,1951.51,398.73,768.89,783.89,398.73,655.68,113.21,NA,237.55,NA,168.87,NA,72.33,63.78,241.36,7351
吉林省,1999,1672.96,423.48,654.52,594.96,423.48,552.34,102.18,NA,139.13,NA,135.97,NA,67.73,47.32,204.81,6382
吉林省,1998,1577.05,429.5,585.65,561.9,429.5,504.12,81.53,NA,130.8,NA,132.34,NA,64.44,34.88,199.44,5983
吉林省,1997,1464.34,368.16,566.97,529.21,368.16,495.1,71.87,NA,129.92,NA,129.29,NA,55.53,27.68,186.79,5591
黑龙江省,2016,15386.09,2670.46,4400.69,8314.94,2731.65,3647.14,874.23,1795.83,NA,758.01,NA,522.56,900.84,616.9,3538.93,40432
黑龙江省,2015,15083.67,2633.5,4798.08,7652.09,2687.8,4053.77,850.09,1689.24,NA,707.03,NA,479.96,847.66,597.22,3170.9,39462
