prov_name,指标,城镇单位就业人员平均工资(元),农、林、牧、渔业城镇单位就业人员平均工资(元),采矿业城镇单位就业人员平均工资(元),制造业城镇单位就业人员平均工资(元),电力、燃气及水的生产和供应业城镇单位就业人员平均工资(元),建筑业城镇单位就业人员平均工资(元),交通运输、仓储和邮政业城镇单位就业人员平均工资(元),信息传输、计算机服务和软件业城镇单位就业人员平均工资(元),批发和零售业城镇单位就业人员平均工资(元),住宿和餐饮业城镇单位就业人员平均工资(元),金融业城镇单位就业人员平均工资(元),房地产业城镇单位就业人员平均工资(元),租赁和商务服务业城镇单位就业人员平均工资(元),科学研究、技术服务和地质勘查业城镇单位就业人员平均工资(元),水利、环境和公共设施管理业城镇单位就业人员平均工资(元),居民服务和其他服务业城镇单位就业人员平均工资(元),教育城镇单位就业人员平均工资(元),卫生、社会保障和社会福利业城镇单位就业人员平均工资(元),文化、体育和娱乐业城镇单位就业人员平均工资(元),公共管理和社会组织城镇单位就业人员平均工资(元)
浙江省,2009,36553,32969,26292,25429,68464,26580,43041,71664,35705,22456,84714,39558,29627,53648,30583,29586,58993,56499,49956,59339
浙江省,2008,33622,30338,26469,23816,64424,25056,39596,64703,33442,21301,77773,37291,28778,50491,28861,30798,48815,50830,47433,55527
浙江省,2007,30818,28182,23066,20970,59108,22791,36138,59844,29730,19962,65882,32540,27306,44602,27383,30225,44495,46595,44028,51925
浙江省,2006,27570,24760,21318,18507,62318,20415,31652,52141,27070,17331,53667,29144,23308,39682,24377,24288,38638,41483,39896,45876
安徽省,2016,59102,34264,57981,54614,89223,51399,61038,72390,49999,34897,76724,60543,47667,73035,46332,44353,64322,71104,55773,63744
安徽省,2015,55139,31084,61900,50945,81692,48895,56659,67922,45751,33629,77300,54252,47458,69129,40802,41690,59088,63695,52272,57083
安徽省,2014,50894,27185,69636,48259,77120,47632,50271,62501,41863,29652,72215,50362,40853,63084,35989,38091,48487,54468,44211,49012
安徽省,2013,47806,24302,70893,43980,72363,44710,47235,53755,39255,28563,65920,46737,41054,60816,32453,37074,46183,50908,42787,46164
安徽省,2012,44601,22845,70568,42393,55599,39920,42787,47492,34988,26406,59416,39354,36804,51618,29700,35602,42258,44178,39138,43086
安徽省,2011,39352,19443,65805,36355,47113,35319,36103,41378,30234,22511,52780,32958,37525,43177,25330,27929,37721,38420,34353,37899
安徽省,2010,33341,16945,57314,29238,40467,28046,29408,36316,26935,18188,46561,27250,28122,36068,20949,23258,32445,31811,28435,33622
安徽省,2009,28723,13437,48404,24960,35680,24075,25098,31275,23112,16857,36891,23285,26130,32019,18423,19180,28230,27640,24416,30574
安徽省,2008,25703,12473,43838,22509,31002,20539,22247,28550,16965,14321,32652,22145,20884,28850,16771,20156,25400,25104,22793,28675
安徽省,2007,21699,10857,36059,18937,26457,17760,17768,27068,13913,12990,27193,19046,16695,23848,15175,17463,22635,21491,20900,23453
安徽省,2006,17610,8685,29537,15736,21491,14245,15065,23113,11318,11344,22642,16990,15453,20970,12559,14919,17375,17301,17807,18282
福建省,2016,61973,35577,44222,54439,88471,53557,71181,93774,57937,39434,108377,65110,56934,79317,51083,48040,75773,87997,67018,76926
福建省,2015,57628,32510,44100,50675,80987,50819,65314,84288,54866,39599,108537,62253,51927,76956,46144,46396,69226,80314,61039,68728
福建省,2014,53426,28340,43793,46892,77293,50028,61115,78734,51458,36200,107826,57980,49695,64519,43231,44215,59844,72183,57796,60411
福建省,2013,48538,26205,38110,42820,71123,44202,55821,74101,45998,33572,101550,52646,49942,63208,37278,38689,56378,64544,53391,57022
福建省,2012,44525,24516,36341,38725,66938,42743,52750,67917,44404,30883,94708,50397,38431,55947,35842,34320,52282,57525,47017,53850
福建省,2011,38588,22021,33539,33341,57728,36770,45761,59763,37998,26577,84296,43969,32928,49201,31336,35808,46832,50672,41715,47138
福建省,2010,32340,18041,29328,26627,50529,30138,39741,59117,32850,22268,70532,36917,24511,41592,26824,33977,40550,40844,35654,42e3
福建省,2009,28366,15790,26014,22631,42466,26029,35263,52776,27927,18681,61181,31581,22736,37348,24092,27430,36952,36226,31419,39727
福建省,2008,25555,14496,23797,20678,39701,24251,32801,46338,24676,17501,56965,30428,23244,36583,22680,22648,31361,32893,29704,34144
福建省,2007,22277,12500,20637,18391,35946,21205,29451,42125,22044,16118,46441,24695,20811,34677,21719,19565,26158,28331,27670,28503
福建省,2006,19424,10717,18055,16297,29453,19494,25189,39147,18535,14432,37393,21860,19931,27159,17476,17669,21771,23374,24453,24308
江西省,2016,56136,35473,42902,49564,62157,50108,66594,71535,47104,35880,83974,53632,45854,74844,42849,51631,63924,70701,61272,64568
江西省,2015,50932,32076,41120,46020,62064,46146,62546,60353,45992,33402,76035,49714,41535,66749,37900,44908,55995,61728,53649,54577
江西省,2014,46218,26877,42984,42976,56550,42002,58120,56721,42827,30722,71160,45093,40161,55957,41782,42678,48543,53384,44941,46893
江西省,2013,42473,26459,41762,39351,51676,38753,54417,57867,39111,26772,70497,37376,37835,47738,40756,31840,45499,48823,44087,40732
江西省,2012,38512,20580,39041,39023,46839,34105,51912,44438,32595,22926,53798,38431,37231,39356,28339,27611,41596,38962,43512,39622
江西省,2011,33239,19765,36496,31158,43449,29175,46120,37676,29148,21290,47112,33475,32529,37628,21789,29392,34940,37542,32519,34013
江西省,2010,28363,16265,27978,25579,37312,25293,38628,32566,24868,18268,38926,25857,21725,30430,19757,22375,29980,31494,30555,29395
江西省,2009,24165,15049,24589,21508,30908,20518,31921,26118,20868,15840,33055,21531,16691,28934,16965,20053,26175,25165,27576,25824
江西省,2008,20597,12478,20503,17573,27453,16584,27684,25242,18128,13829,29324,18285,15726,25533,15739,17444,22433,24982,23794,22047
江西省,2007,18144,9670,17033,15423,24444,15079,23650,26967,14277,12862,26513,17365,15534,22705,14655,13149,19537,22757,21796,19550
江西省,2006,15370,8208,15882,13661,19766,12615,20568,20428,12336,10861,22921,13918,13324,20372,12319,11569,16027,18242,19117,16025
山东省,2016,62539,56617,65309,52255,74333,52421,70509,84346,47572,42496,93405,57331,59852,78755,45799,44511,81165,78411,77462,74552
山东省,2015,57270,51003,61718,48519,70580,47881,66189,81249,44386,39723,90869,52575,56970,70959,42743,42675,73073,70385,71453,65158
山东省,2014,51825,40558,63722,45519,63726,44675,60303,77282,41884,37615,89331,49742,51488,63176,39488,40300,58138,60460,62056,53430
山东省,2013,46998,39617,62390,41202,58181,40118,55174,74249,39219,37068,80835,44393,46169,56233,37195,38233,51658,54919,56870,48062
山东省,2012,41904,31290,57906,36833,52617,33667,50097,60459,32868,29528,72345,38545,39480,53319,31602,45588,46176,47768,48702,42914
山东省,2011,37618,28329,53767,32069,45874,31101,46016,52186,28807,25926,61416,32966,35e3,52518,28827,45264,41988,43101,43492,39284
山东省,2010,33321,24143,46560,27773,42025,25807,39435,50315,23845,21810,53148,29793,28987,45803,25387,32461,38621,38044,41008,35726
山东省,2009,29398,21884,40564,23930,37911,23222,34477,44403,21272,19568,46480,27254,26130,40964,22995,29853,34391,33982,37964,32496
山东省,2008,26234,19387,36133,21340,33497,20395,31235,37981,18254,17646,40297,24426,24085,36770,21114,31777,31032,30504,36088,29722
山东省,2007,22734,16960,30805,18477,29553,18183,27998,38577,15813,15069,35303,22182,19661,31695,18347,27313,27289,26235,30657,25522
山东省,2006,19135,14519,27105,15633,25251,15400,24826,35191,13489,13807,28207,19225,17085,26764,15278,25080,21772,22690,24853,21150
河南省,2016,49505,36785,46833,43783,66658,44753,55485,62467,43592,36591,91212,48503,40417,59171,41903,36848,55087,61045,51908,50552
河南省,2015,45403,34941,48777,41338,65713,41283,52099,60671,39990,33854,74441,45429,41060,56866,37552,33857,50152,53308,47591,42587
河南省,2014,42179,28849,51239,37944,61076,38425,49426,52779,36690,31010,69223,41847,38679,53509,35771,30482,46419,49301,42426,38824
河南省,2013,38301,25268,51158,33951,53634,33856,44633,47671,33759,27895,62835,37594,34965,47717,31679,27878,42099,43526,36555,36348
河南省,2012,37338,24226,55425,33803,44667,31682,43478,44518,31177,27252,57364,36852,30992,45988,29856,29170,39582,38814,35925,33696
河南省,2011,33634,20492,52619,30012,40672,28170,37067,38208,26913,24604,47749,34062,28474,39277,27486,25338,36082,35216,31249,30691
河南省,2010,29819,17433,46887,25864,37196,24151,31748,35042,22403,20201,41871,28913,24560,36436,24648,23650,33090,31177,28511,28474
河南省,2009,26906,15718,41029,23330,33310,21354,28392,32510,19509,18390,38019,26125,21383,33250,22265,21542,29747,28008,25973,26751
河南省,2008,24438,13455,37649,20993,31321,19388,26387,27391,16945,16460,34618,21928,21418,28998,20365,16818,26512,25438,23075,25446
河南省,2007,20639,11259,31168,17522,26230,16467,22308,26991,13703,13684,29878,18790,17119,25012,17306,15834,22767,21064,20401,21755
河南省,2006,16791,9405,26040,14853,21878,14282,19399,22995,11536,11796,24238,15451,15261,22524,13459,15159,17151,17094,17996,16135
湖北省,2016,59831,31548,52788,54033,84106,54636,64690,86398,47355,38323,93701,55550,49220,81015,45147,43921,65298,69692,61018,66400
湖北省,2015,54367,29313,49231,49971,78034,51921,60104,72380,44691,36190,87293,51961,46244,74574,39690,39309,56114,62475,58510,55287
湖北省,2014,49838,26962,48910,46966,72279,48331,54620,64563,41228,33206,76995,47049,43307,68102,34503,37433,50621,55133,51861,50738
湖北省,2013,43899,24336,41853,42959,56047,44194,49918,56715,38099,29452,68047,42767,40533,61121,30664,31492,41068,48539,45201,39465
湖北省,2012,39846,23039,41417,39394,49626,37668,49591,44182,31447,25661,62301,41227,33454,51212,28085,30299,39270,42295,37397,39503
湖北省,2011,36128,22045,35715,35824,46928,33600,40364,39229,29285,23169,58104,35569,30806,48816,24867,29296,35859,38436,35310,36364
湖北省,2010,31811,19541,31989,30689,39067,27661,34668,39222,25081,20601,49830,30760,26647,45518,21730,26086,34230,33751,32390,34198
