prov_name,指标,城镇单位就业人员(万人),农林牧渔业城镇单位就业人员(万人),采矿业城镇单位就业人员(万人),制造业城镇单位就业人员(万人),电力、燃气及水的生产和供应业城镇单位就业人员(万人),建筑业城镇单位就业人员(万人),交通运输、仓储及邮电通信业城镇单位就业人员(万人),信息传输、计算机服务和软件业城镇单位就业人员(万人),批发和零售业城镇单位就业人员(万人),住宿和餐饮业城镇单位就业人员(万人),金融业城镇单位就业人员(万人),房地产业城镇单位就业人员(万人),租赁和商务服务业城镇单位就业人员(万人),科学研究、技术服务和地质勘查业城镇单位就业人员(万人),水利、环境和公共设施管理业城镇单位就业人员(万人),居民服务和其他服务业城镇单位就业人员(万人),教育业城镇单位就业人员(万人),卫生、社会保障和社会福利业城镇单位就业人员(万人),文化、体育和娱乐业城镇单位就业人员(万人),公共管理和社会组织城镇单位就业人员(万人)
江苏省,2010,763.8,9.9,12.6,335.5,12.9,52.3,31.2,8.7,29,10.6,26.9,7.3,12,10.9,12.3,1,85.5,36.3,5.7,63.1
江苏省,2009,721.34,10.51,13.67,308.2,12.85,46.04,30.7,7.33,27.72,10.47,26.62,6.49,11.46,9.85,11.46,1.19,84.56,34.42,5.58,62.23
江苏省,2008,707.64,12.16,13.59,307.36,12.66,38.35,31.97,7.27,27.26,9.88,25.05,5.96,11.01,9.39,11.17,1.08,84.31,32.96,5.39,60.82
浙江省,2016,1060.95,0.43,0.6,315.91,11.96,310.12,31.53,18.61,37.63,13.45,46.38,20.88,28.95,18.61,10.65,2.25,71.4,44.29,6.82,70.47
浙江省,2015,1083.41,0.47,0.7,330.6,10.98,323.42,31.96,17.06,42.1,13.5,42.3,20.05,27.91,16.15,11.56,2.48,70.94,43.73,7.41,70.09
浙江省,2014,1102.68,0.56,0.86,350.55,13.42,329.45,32.69,16.44,41.73,13.84,37.96,19.75,28.41,16.1,11.68,2.62,70.08,41.63,7.21,67.7
浙江省,2013,1071.61,0.75,0.97,357.95,13.54,303.23,31.37,15.35,40.19,14.7,36.32,17.95,28.81,15.99,11.67,2.19,68.4,39.45,7.16,65.6
浙江省,2012,1070.12,0.82,1.4,372.48,13.3,294.07,29.36,14.07,39.26,16.32,36.38,17.46,29.21,17.48,12.9,2,66.24,37.37,6.74,63.26
浙江省,2011,995.67,1.49,1.56,376.75,13.88,236.72,27.41,12.56,37.88,18.14,31.88,15.28,27.71,15.48,11.91,1.68,63.51,35.34,6.6,59.89
浙江省,2010,883.6,1.4,1.7,351.7,12.6,180.2,25.2,11.2,31,15.6,29.4,13.6,26,14,10.9,1.6,61.1,32.4,6.2,57.5
浙江省,2009,813.93,1.49,1.66,333.08,12.47,155.85,23.94,10.03,28.09,14.93,27.98,10.39,23.96,10.48,8.3,1.58,57.84,29.81,5.91,56.14
浙江省,2008,741.2,1.58,1.59,319.23,12.17,121.73,22.07,8.87,24.68,14.31,25.48,9.31,20.42,9.57,7.35,1.25,55.95,28.06,5.17,52.4
安徽省,2016,517.05,4.24,23.06,122.36,10.45,91.78,22.93,8.01,23.19,5.95,22.26,10.46,6.63,9.08,7.79,0.95,64.55,30.55,3.36,49.44
安徽省,2015,513.79,4.37,27.04,120.95,10.35,92.65,22.26,7.65,23.65,5.95,19.12,10.42,6.25,9.17,8.16,0.87,64.35,29.07,3.24,48.26
